,animal_id,name,datetime,monthyear,date_of_birth,outcome_type,animal_type,sex_upon_outcome,age_upon_outcome,breed,color,outcome_subtype
0,A794011,Chunk,2019-05-08 18:20:00,2019-05-08T18:20:00.000,2017-05-02T00:00:00.000,Rto-Adopt,Cat,Neutered Male,2 years,Domestic Shorthair Mix,Brown Tabby/White,
1,A776359,Gizmo,2018-07-18 16:02:00,2018-07-18T16:02:00.000,2017-07-12T00:00:00.000,Adoption,Dog,Neutered Male,1 year,Chihuahua Shorthair Mix,White/Brown,
2,A821648,,2020-08-16 11:38:00,2020-08-16T11:38:00.000,2019-08-16T00:00:00.000,Euthanasia,Other,Unknown,1 year,Raccoon,Gray,
3,A720371,Moose,2016-02-13 17:59:00,2016-02-13T17:59:00.000,2015-10-08T00:00:00.000,Adoption,Dog,Neutered Male,4 months,Anatol Shepherd/Labrador Retriever,Buff,
4,A674754,,2014-03-18 11:47:00,2014-03-18T11:47:00.000,2014-03-12T00:00:00.000,Transfer,Cat,Intact Male,6 days,Domestic Shorthair Mix,Orange Tabby,Partner
5,A659412,Princess,2020-10-05 14:37:00,2020-10-05T14:37:00.000,2013-03-24T00:00:00.000,Adoption,Dog,Spayed Female,7 years,Chihuahua Shorthair Mix,Brown,
6,A814515,Quentin,2020-05-06 07:59:00,2020-05-06T07:59:00.000,2018-03-01T00:00:00.000,Adoption,Dog,Neutered Male,2 years,American Foxhound/Labrador Retriever,White/Brown,Foster
7,A881795,,2023-06-13 07:13:00,2023-06-13T07:13:00.000,2021-05-26T00:00:00.000,Transfer,Cat,Unknown,2 years,Domestic Shorthair,Brown Tabby,Snr
8,A689724,*Donatello,2014-10-18 18:52:00,2014-10-18T18:52:00.000,2014-08-01T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,Black,
9,A680969,*Zeus,2014-08-05 16:59:00,2014-08-05T16:59:00.000,2014-06-03T00:00:00.000,Adoption,Cat,Neutered Male,2 months,Domestic Shorthair Mix,White/Orange Tabby,
10,A840370,Tulip,2021-08-19 19:36:00,2021-08-19T19:36:00.000,2019-08-06T00:00:00.000,Adoption,Dog,Spayed Female,2 years,Border Collie/Cardigan Welsh Corgi,Black/White,
11,A684617,,2014-07-27 09:00:00,2014-07-27T09:00:00.000,2012-07-26T00:00:00.000,Transfer,Cat,Intact Female,2 years,Domestic Shorthair Mix,Black,SCRP
12,A742354,Artemis,2017-01-22 11:56:00,2017-01-22T11:56:00.000,2010-01-20T00:00:00.000,Return to Owner,Cat,Neutered Male,7 years,Domestic Shorthair Mix,Blue/White,
13,A818049,Fiona,2020-06-01 13:24:00,2020-06-01T13:24:00.000,2018-06-01T00:00:00.000,Return to Owner,Dog,Intact Female,2 years,Pit Bull,White/Blue,
14,A843327,*Mary,2021-10-08 13:25:00,2021-10-08T13:25:00.000,2019-09-29T00:00:00.000,Transfer,Dog,Intact Female,2 years,Chihuahua Shorthair Mix,Black/White,Out State
15,A681036,,2014-06-11 17:11:00,2014-06-11T17:11:00.000,2014-06-09T00:00:00.000,Transfer,Cat,Intact Male,2 days,Domestic Shorthair Mix,Brown Tabby,Partner
16,A803149,*Birch,2019-08-31 16:26:00,2019-08-31T16:26:00.000,2019-08-08T00:00:00.000,Transfer,Cat,Intact Male,3 weeks,Domestic Shorthair,Brown Tabby,Partner
17,A882456,,2023-06-13 07:14:00,2023-06-13T07:14:00.000,2021-06-05T00:00:00.000,Transfer,Cat,Unknown,2 years,Domestic Shorthair,Blue Tabby,Snr
18,A698049,Luigi,2015-03-16 14:50:00,2015-03-16T14:50:00.000,2014-06-05T00:00:00.000,Transfer,Cat,Spayed Female,9 months,Domestic Medium Hair Mix,Black/White,Partner
19,A773792,,2018-06-05 15:30:00,2018-06-05T15:30:00.000,2018-05-05T00:00:00.000,Euthanasia,Cat,Intact Male,4 weeks,Domestic Shorthair Mix,Orange Tabby,Suffering
20,A882810,,2023-06-13 07:15:00,2023-06-13T07:15:00.000,2021-06-09T00:00:00.000,Transfer,Cat,Unknown,2 years,Domestic Shorthair,White/Brown Tabby,Snr
21,A882757,,2023-06-13 07:15:00,2023-06-13T07:15:00.000,2021-06-08T00:00:00.000,Transfer,Cat,Intact Male,2 years,Domestic Shorthair,Orange Tabby,Snr
22,A833999,,2021-05-08 14:05:00,2021-05-08T14:05:00.000,2021-04-23T00:00:00.000,Transfer,Cat,Intact Female,2 weeks,Domestic Medium Hair,Brown Tabby,Partner
23,A882809,,2023-06-13 07:14:00,2023-06-13T07:14:00.000,2021-06-09T00:00:00.000,Transfer,Cat,Unknown,2 years,Domestic Shorthair,Black/White,Snr
24,A725795,,2016-05-03 12:39:00,2016-05-03T12:39:00.000,2016-04-15T00:00:00.000,Euthanasia,Other,Unknown,2 weeks,Opossum,Gray,Underage
